symbol,yfinance_symbol,company_name,industry
3MINDIA,3MINDIA.NS,3M India Ltd.,SERVICES
ABB,ABB.NS,ABB India Ltd.,INDUSTRIAL MANUFACTURING
ACC,ACC.NS,ACC Ltd.,CEMENT & CEMENT PRODUCTS
AIAENG,AIAENG.NS,AIA Engineering Ltd.,INDUSTRIAL MANUFACTURING
APLAPOLLO,APLAPOLLO.NS,APL Apollo Tubes Ltd.,METALS
AUBANK,AUBANK.NS,AU Small Finance Bank Ltd.,FINANCIAL SERVICES
AAVAS,AAVAS.NS,Aavas Financiers Ltd.,FINANCIAL SERVICES
ADANIGREEN,ADANIGREEN.NS,Adani Green Energy Ltd.,ENERGY
ADANIPORTS,ADANIPORTS.NS,Adani Ports and Special Economic Zone Ltd.,SERVICES
ADANIPOWER,ADANIPOWER.NS,Adani Power Ltd.,ENERGY
ADANITRANS,ADANITRANS.NS,Adani Transmission Ltd.,ENERGY
ABCAPITAL,ABCAPITAL.NS,Aditya Birla Capital Ltd.,FINANCIAL SERVICES
ABFRL,ABFRL.NS,Aditya Birla Fashion and Retail Ltd.,CONSUMER GOODS
ADVENZYMES,ADVENZYMES.NS,Advanced Enzyme Tech Ltd.,CONSUMER GOODS
AEGISCHEM,AEGISCHEM.NS,Aegis Logistics Ltd.,ENERGY
AJANTPHARM,AJANTPHARM.NS,Ajanta Pharmaceuticals Ltd.,PHARMA
AKZOINDIA,AKZOINDIA.NS,Akzo Nobel India Ltd.,CONSUMER GOODS
APLLTD,APLLTD.NS,Alembic Pharmaceuticals Ltd.,PHARMA
ALKEM,ALKEM.NS,Alkem Laboratories Ltd.,PHARMA
ALBK,ALBK.NS,Allahabad Bank,FINANCIAL SERVICES
ALLCARGO,ALLCARGO.NS,Allcargo Logistics Ltd.,SERVICES
AMARAJABAT,AMARAJABAT.NS,Amara Raja Batteries Ltd.,AUTOMOBILE
AMBUJACEM,AMBUJACEM.NS,Ambuja Cements Ltd.,CEMENT & CEMENT PRODUCTS
ANDHRABANK,ANDHRABANK.NS,Andhra Bank,FINANCIAL SERVICES
APOLLOHOSP,APOLLOHOSP.NS,Apollo Hospitals Enterprise Ltd.,HEALTHCARE SERVICES
APOLLOTYRE,APOLLOTYRE.NS,Apollo Tyres Ltd.,AUTOMOBILE
ASHOKLEY,ASHOKLEY.NS,Ashok Leyland Ltd.,AUTOMOBILE
ASHOKA,ASHOKA.NS,Ashoka Buildcon Ltd.,CONSTRUCTION
ASIANPAINT,ASIANPAINT.NS,Asian Paints Ltd.,CONSUMER GOODS
ASTERDM,ASTERDM.NS,Aster DM Healthcare Ltd.,HEALTHCARE SERVICES
ASTRAZEN,ASTRAZEN.NS,AstraZenca Pharma India Ltd.,PHARMA
ASTRAL,ASTRAL.NS,Astral Poly Technik Ltd.,INDUSTRIAL MANUFACTURING
ATUL,ATUL.NS,Atul Ltd.,CHEMICALS
AUROPHARMA,AUROPHARMA.NS,Aurobindo Pharma Ltd.,PHARMA
AVANTIFEED,AVANTIFEED.NS,Avanti Feeds Ltd.,CONSUMER GOODS
DMART,DMART.NS,Avenue Supermarts Ltd.,CONSUMER GOODS
AXISBANK,AXISBANK.NS,Axis Bank Ltd.,FINANCIAL SERVICES
BASF,BASF.NS,BASF India Ltd.,CHEMICALS
BEML,BEML.NS,BEML Ltd.,INDUSTRIAL MANUFACTURING
BSE,BSE.NS,BSE Ltd.,FINANCIAL SERVICES
BAJAJ-AUTO,BAJAJ-AUTO.NS,Bajaj Auto Ltd.,AUTOMOBILE
BAJAJCON,BAJAJCON.NS,Bajaj Consumer Care Ltd.,CONSUMER GOODS
BAJAJELEC,BAJAJELEC.NS,Bajaj Electricals Ltd,CONSUMER GOODS
BAJFINANCE,BAJFINANCE.NS,Bajaj Finance Ltd.,FINANCIAL SERVICES
BAJAJFINSV,BAJAJFINSV.NS,Bajaj Finserv Ltd.,FINANCIAL SERVICES
BAJAJHLDNG,BAJAJHLDNG.NS,Bajaj Holdings & Investment Ltd.,FINANCIAL SERVICES
BALKRISIND,BALKRISIND.NS,Balkrishna Industries Ltd.,AUTOMOBILE
BALMLAWRIE,BALMLAWRIE.NS,Balmer Lawrie & Co. Ltd.,SERVICES
BALRAMCHIN,BALRAMCHIN.NS,Balrampur Chini Mills Ltd.,CONSUMER GOODS
BANDHANBNK,BANDHANBNK.NS,Bandhan Bank Ltd.,FINANCIAL SERVICES
BANKBARODA,BANKBARODA.NS,Bank of Baroda,FINANCIAL SERVICES
BANKINDIA,BANKINDIA.NS,Bank of India,FINANCIAL SERVICES
MAHABANK,MAHABANK.NS,Bank of Maharashtra.,FINANCIAL SERVICES
BATAINDIA,BATAINDIA.NS,Bata India Ltd.,CONSUMER GOODS
BERGEPAINT,BERGEPAINT.NS,Berger Paints India Ltd.,CONSUMER GOODS
BDL,BDL.NS,Bharat Dynamics Ltd.,INDUSTRIAL MANUFACTURING
BEL,BEL.NS,Bharat Electronics Ltd.,INDUSTRIAL MANUFACTURING
BHARATFORG,BHARATFORG.NS,Bharat Forge Ltd.,INDUSTRIAL MANUFACTURING
BHEL,BHEL.NS,Bharat Heavy Electricals Ltd.,INDUSTRIAL MANUFACTURING
